N Siniestro;Número de Reserva;Patente;Día del Siniestro;Marca / Modelo;;;Tercero Involucrado;Nombre Tercero;Lugar;Tipo de Denuncia;Detalle;Fecha de Declaración;N° Siniestro Seguro;Valor del Auto;Monto de Retención;Fecha de Cobro Garantía;Garantía cobrada;Gasto del Incidente;Reintegro Seguro;Taller de Reparación;Teléfono Taller Reparación;Monto Franquicia;Fecha de Pago;Estatus;Observaciones
1;1429;;19/1/24;Fiat Cronos;;;;No;CABA;Robo;2 llantas;14/2/24;;;180.000,00;16/1/24;350.000,00;901.812,02;0;;;;;Cerrado;
2;1440;;6/2/24;Fiat Cronos;;;No;;Mendoza;Choque;Parabrisas;8/2/24;;;180.000,00;29/1/24;;;;;;;;Denunciado;Se volvió a enviar un endoso, para este caso, se avisó por mail, contactaron al dueño del auto?
3;1437;;25/1/24;Chev Onix;;;;;Bariloche;Choque;Colisión con otro auto;26/1/24;4,20231E+11;9.558.000,00;180.000,00;29/1/24;476.740,00;;3.656.520,00;M &W Servicios;5,493E+12;;;Cerrado;
4;1407;;30/1/24;Chev Onix;;;;No;Bariloche;Choque;Parachoque;2/2/24;;;180.000,00;2/2/24;180.000,00;180.000,00;0;Nelson G. González;;;;Cerrado;
5;1448;;21/1/24;VW Passat;;;;;CABA;Choque;Parachoque Delantero;19/2/24;;;250.000,00;18/1/24;;;;;;;;Cerrado;
6;1620;;13/3/24;Citroen C3;;;;No;Tucumán;Choque;Parachoque Delantero;13/3/24;;;300.000,00;19/3/24;200.000,00;111.572,00;0;Alta Gama;;;;Cerrado;
7;1706;;1/4/24;VW Passat;;;;No;CABA;Choque;Parachoque Delantero y guardapolvo;;;;500.000,00;;500.000,00;;;;;;;Cerrado;Nos quedamos con la garantía de 400 USD, lo reparó el cliente que compró el auto con el caso del robo
8;2135;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
9;2235;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
10;2279;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
11;2403;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
12;2404;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
13;2429;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
14;2490;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
15;2473;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
16;2679;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
17;1111;;26/9/24;Renault Sandero;;;No;;Caba;Accidente;Cerradura dañada;15/10/24;;;;;;;;;;;;Denunciado;EN ESPERA DE REINTEGRO
18;2809;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
19;2681;;12/10/24;Peugeot 208;;;No;;Ushuaia;Vidrios;Vidrios laterales izquierdos;31/10/24;;;;;;;;;;;;Denunciado;EN ESPERA DE REINTEGRO
20;2875;;13/10/24;Volkswagen Passat;;;No;;Caba;Choque;Guardabarro trasero izquierdo;6/11/24;4,20241E+11;;;;;;;;;;;Denunciado;no se llevó a cotizar para reparar, Se devuelve la garantía, ella queda que paga en dólares lo que salga, no se le pasó cotización
21;2842;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
22;1111;;19/10/24;Renault Sandero;;;No;;Caba;Vidrios;Parabrisas;21/10/24;;;;;;;;;;;;Denunciado;EN ESPERA DE REINTEGRO
23;3317;;;Pendiente de denuncia;;;;;;;;;;;;;;;;;;;;Cerrado;
24;3185;;18/11/24;Renault Logan;;;No;;Caba;Vidrios;Parabrisas;28/1/24;4,20241E+11;;;;;;;;;;;Cerrado;Cambiado el parabrisas
